SENDER_WALLET,TRANSACTIONS
0x0000000000000000000000000000000000000000,"Ethereum,Base,Ethereum,Scroll,Ethereum,Scroll,Ethereum,Arbitrum,Ethereum,Arbitrum"
0x0000000000003e6b8283d286abdbf9a6efa129d0,"Polygon,Arbitrum"
0x0000000000008e356bebe1e3ccf19d13436202b8,"Arbitrum,Ethereum"
0x000000000000d34c44564053af35e4fe271d0caa,"Arbitrum,Ethereum,Base,BNB Chain"
0x0000000000163081ad5a1a8bf11955a908c1dbb4,"Avalanche,BNB Chain"
0x0000000000234a48603574189845c2d27028dad3,"Arbitrum,Ethereum"
0x000000000036277944858dfe6b9ae18c929e570c,"Polygon,Kava"
0x000000000050b0192644829bb79e6c489a287f3c,"Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum,Polygon,Arbitrum"
0x00000000005ef87f8ca7014309ece7260bbcdaeb,"Optimism,Goerli"
0x00000000006c27bf07bf1762e9be0735c5aea30a,"Arbitrum,Optimism,Avalanche,Optimism,Arbitrum,Optimism,Optimism,Avalanche,Optimism,Avalanche"
0x00000000007cee88e01241c9db0a02b859db5b52,"BNB Chain,Arbitrum"
0x000000000087781798788d5374ab5ec82044bb88,"Ethereum,Base,Base,Polygon,Ethereum,Mantle"
0x0000000000ac58e588070969dce9c6e87e8e7173,"Ethereum,Manta"
0x0000000000ad737a527c2757136ae83bb40b925e,"Ethereum,Merit Circle,Metis,Ethereum"
0x0000000000b22be823d0ae44bb4bca3c02281943,"Arbitrum,Ethereum,Arbitrum,Ethereum"
0x0000000000b6e2b38398f748d1135d948306eca4,"BNB Chain,Ethereum,Ethereum,BNB Chain"
0x0000000000bb4761533436fb8c884322dcdfd29a,"BNB Chain,Avalanche,Avalanche,Optimism,Optimism,Arbitrum,Arbitrum,Avalanche,BNB Chain,Metis"
0x0000000000f5a3cdd25f02a305ec348e6b518fff,"Core Blockchain Mainnet,BNB Chain"
0x0000000000f6b28110192be56ce7a4a9c75c79eb,"BNB Chain,Polygon,BNB Chain,Core Blockchain Mainnet,BNB Chain,Celo Mainnet,BNB Chain,Mantle,Polygon,Core Blockchain Mainnet,Polygon,Mantle,Polygon,Celo Mainnet,Core Blockchain Mainnet,Polygon,Celo Mainnet,Polygon"
0x0000000002c0fd34c64a4813d6568abf13b0adda,"Arbitrum,Polygon,Polygon,Avalanche,Polygon,Arbitrum Nova"
0x00000000037a08ce8c4917a5c58f40c85367df0c,"Arbitrum,,Optimism,Arbitrum,Optimism,Arbitrum,Arbitrum,Polygon,Polygon,BNB Chain,BNB Chain,Base,Optimism,Linea,Ethereum,Manta,Arbitrum,BNB Chain"
0x00000000051cbce3fd04148cce2c0adc7c651829,"Polygon,Optimism,Arbitrum,Ethereum,Polygon,BNB Chain,Optimism,Arbitrum"
0x0000000005d8508109bbdc10b508c4291da70102,"Ethereum,Optimism,Optimism,Arbitrum,Optimism,Polygon,Optimism,Base,Optimism,Ethereum"
0x000000000799a08e40de98f85f28aecea4e2c006,"Fantom,Moonriver,Klaytn Mainnet Cypress,DFK,Klaytn Mainnet Cypress,DFK,Klaytn Mainnet Cypress,DFK,Polygon,Harmony,Polygon,Moonbeam,BNB Chain,Gnosis,BNB Chain,Celo Mainnet,Avalanche,Moonriver,Moonriver,Fantom,Moonbeam,Harmony,Celo Mainnet,Gnosis,Gnosis,Celo Mainnet,Harmony,Moonbeam,Polygon,Arbitrum"
0x0000000007cb415122b0049a88bf24841260050e,"Optimism,Arbitrum,Arbitrum,Polygon,Polygon,Avalanche,Optimism,Base"
